taxon_name,taxon_name_acc,species_name_acc,list,comments,taxon_type,taxon_acc_type,source_note,taxon_name_with_author,taxonomic_source,taxonomic_status,taxonomic_reference_id,num_taxonomic_sources,collections_only,reference_only,,,,,,,,,,,,
Quercus petraea subsp. petraea,Quercus petraea subsp. petraea,Quercus petraea,desiderata,NA,infraspecific,infraspecific,NA,Quercus petraea (Matt.) Liebl. subsp. petraea,Oaks of the World,NA,http://oaks.of.the.world.free.fr/quercus_petraea.htm,NA,N,N,,,,,,,,,,,,
Quercus robur subsp. broteroana,Quercus robur subsp. broteroana,Quercus robur,desiderata,"""six subsp."" treament based on the Quercus ICRA website.",infraspecific,infraspecific,NA,Quercus robur subsp. broteroana O. Schwarz,The Plant List,NA,http://www.theplantlist.org/tpl/record/kew-174769,NA,N,?,,,,,,,,,,,,
Quercus robur subsp. brutia,Quercus robur subsp. brutia,Quercus robur,desiderata,"""six subsp."" treament based on the Quercus ICRA website.",infraspecific,infraspecific,NA,Quercus robur subsp. brutia (Ten.) O. Schwarz,tnrs,no opinion,http://www.tropicos.org/Name/50280603,1,N,?,,,,,,,,,,,,
Quercus robur subsp. estremadurensis,Quercus robur subsp. estremadurensis,Quercus robur,desiderata,"""six subsp."" treament based on the Quercus ICRA website.",infraspecific,infraspecific,NA,Quercus robur subsp. estremadurensis (O. Schwarz) A. Camus,tnrs,no opinion,http://www.tropicos.org/Name/50281513,1,N,?,,,,,,,,,,,,
Quercus robur subsp. imeretina,Quercus robur subsp. imeretina,Quercus robur,desiderata,"""six subsp."" treament based on the Quercus ICRA website.",infraspecific,infraspecific,NA,Quercus robur subsp. imeretina (Steven ex Woronow) Menitsky,Plants of the World online (Kew),NA,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77189383-1,NA,N,?,,,,,,,,,,,,
Quercus robur subsp. pedunculiflora,Quercus robur subsp. pedunculiflora,Quercus robur,desiderata,"""six subsp."" treament based on the Quercus ICRA website.",infraspecific,infraspecific,NA,Quercus robur subsp. pedunculiflora (K.Koch) Menitsky,The Plant List,NA,http://www.theplantlist.org/tpl1.1/record/kew-174831,NA,Y,N,,,,,,,,,,,,
Quercus robur subsp. robur,Quercus robur subsp. robur,Quercus robur,desiderata,"""six subsp."" treament based on the Quercus ICRA website.",infraspecific,infraspecific,NA,Quercus robur L. subsp. robur,Plants of the World online (Kew),NA,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:304293-2,NA,N,N,,,,,,,,,,,,
Quercus shumardii var. schneckii,Quercus shumardii var. schneckii,Quercus shumardii,desiderata,Mentioned but not fully accepted in Flora of North America. Andrew and I agree with leaving this split out for the time being,infraspecific,infraspecific,NA,Quercus shumardii var. schneckii (Britton) Sarg.,"itis, tnrs, tpl","accepted,no opinion,rejected","kew-175152,http://www.tropicos.org/Name/13100267,195141",3,Y,N,,,,,,,,,,,,
Quercus shumardii var. shumardii,Quercus shumardii var. shumardii,Quercus shumardii,desiderata,Mentioned but not fully accepted in Flora of North America. Andrew and I agree with leaving this split out for the time being,infraspecific,infraspecific,NA,Quercus shumardii var. shumardii Buckley,itis,rejected,19418,1,N,N,,,,,,,,,,,,
Quercus sinuata var. breviloba,Quercus sinuata var. breviloba,Quercus sinuata,desiderata,two vars. Accepted in Flora of North America,infraspecific,infraspecific,NA,Quercus sinuata var. breviloba (Torr.) C. H. Mull.,"ipni, itis, tpl","accepted,no opinion,rejected","kew-175181,216410-2,195146",3,Y,N,,,,,,,,,,,,
Quercus sinuata var. sinuata,Quercus sinuata var. sinuata,Quercus sinuata,desiderata,two vars. Accepted in Flora of North America,infraspecific,infraspecific,NA,Quercus sinuata var. sinuata Walter,itis,rejected,195144,1,N,N,,,,,,,,,,,,
Tilia americana var. americana,Tilia americana var. americana,Tilia americana,desiderata,NA,infraspecific,infraspecific,NA,Tilia americana var. americana L.,itis,accepted,530690,1,N,N,,,,,,,,,,,,
Tilia americana var. caroliniana,Tilia americana var. caroliniana,Tilia americana,desiderata,NA,infraspecific,infraspecific,NA,Tilia americana var. caroliniana (Mill.) Castigl.,"ipni, itis, tnrs","accepted,no opinion","530691,253417-2,http://www.tropicos.org/Name/50141446",3,N,N,,,,,,,,,,,,
Tilia americana var. heterophylla,Tilia americana var. heterophylla,Tilia americana,desiderata,NA,infraspecific,infraspecific,NA,Tilia americana var. heterophylla (Vent.) Loudon,"ipni, tnrs, tpl","accepted,no opinion","kew-2522340,253424-2,http://www.tropicos.org/Name/50141445",3,N,N,,,,,,,,,,,,
Tilia americana var. mexicana,Tilia americana var. mexicana,Tilia americana,desiderata,Not of interest for Morton Collections,infraspecific,infraspecific,NA,Tilia americana var. mexicana (Schltdl.) Hardin,"ipni, tnrs, tpl","accepted,no opinion","tro-50216006,286109-2,http://www.tropicos.org/Name/50216006",3,N,Y,,,,,,,,,,,,
Tilia amurensis var. amurensis,Tilia amurensis var. amurensis,Tilia amurensis,desiderata,NA,infraspecific,infraspecific,NA,Tilia amurensis Ruprecht var. amurensis,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia amurensis var. araneosa,Tilia amurensis var. araneosa,Tilia amurensis,desiderata,"Pigott subsumed this under T. amurensis (subsp.) amurensis, presumably as the degree of hairs to the lamina LS (which is used to split in Flora of China) is a seasonal characteristic, with most T. amurensis losing them by July/August (at least in the collections here). However, he doesn't directly address this in the book, and I've never observed a plant or specimen of var. araneosa, so I'm hesistant to offer an opinion here. I'm keeping this split to remain consistent with Flora of China, but I would not bother red listing this taxon.",infraspecific,infraspecific,NA,Tilia amurensis var. araneosa C. Wang & S. D. Zhao,tnrs,no opinion,http://www.tropicos.org/Name/50159639,1,?,N,,,,,,,,,,,,
Tilia amurensis var. taquetii,Tilia amurensis var. taquetii,Tilia amurensis,desiderata,NA,infraspecific,infraspecific,NA,Tilia amurensis var. taquetii (C. K. Schneid.) Liou & Li,"tnrs, tpl","accepted,no opinion","tro-50003020,http://www.tropicos.org/Name/50003020",2,N,N,,,,,,,,,,,,
Tilia cordata subsp. cordata,Tilia cordata subsp. cordata,Tilia cordata,desiderata,I would red list as two subsp. or var.,infraspecific,infraspecific,NA,Tilia cordata Mill. subsp. cordata,USDA PLANTS,NA,https://plants.usda.gov/core/profile?symbol=TICO2,NA,N,N,,,,,,,,,,,,
Tilia cordata subsp. sibirica,Tilia cordata subsp. sibirica,Tilia cordata,desiderata,I would red list as two subsp. or var.s ; ESB: Tilia amurensis var. sibirica (Fisch. ex Bayer) Y.C.Zhu? Tilia sibirica Bayer? (COL) Couldnt find author/source easily,infraspecific,infraspecific,NA,Tilia cordata subsp. sibirica (Bayer) Pigott,Catalogue of Life,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia dasystyla subsp. caucasica,Tilia dasystyla subsp. caucasica,Tilia dasystyla,desiderata,Suggest red listing all three,infraspecific,infraspecific,NA,Tilia dasystyla subsp. caucasica (V. Engl.) Pigott,GBIF (GRIN Taxonomy),NA,https://www.gbif.org/species/101386102,NA,N,N,,,,,,,,,,,,
Tilia dasystyla subsp. dasystyla,Tilia dasystyla subsp. dasystyla,Tilia dasystyla,desiderata,Suggest red listing all three,infraspecific,infraspecific,NA,Tilia dasystyla Steven subsp. dasystyla,Edinburgh Journal of Botany,NA,https://www.researchgate.net/publication/231827559_The_taxonomic_status_of_Tilia_dasystyla_in_Crimea_Ukraine,NA,N,N,,,,,,,,,,,,
Tilia dasystyla subsp. multiflora,Tilia dasystyla subsp. multiflora,Tilia dasystyla,desiderata,Suggest red listing all three,infraspecific,infraspecific,NA,Tilia dasystyla subsp. multiflora (Ledeb.) Pigott,GBIF (COL),NA,https://www.gbif.org/species/7557071,NA,N,N,,,,,,,,,,,,
Tilia henryana var. henryana,Tilia henryana var. henryana,Tilia henryana,desiderata,NA,infraspecific,infraspecific,NA,Tilia henryana Szyszyłowicz var. henryana,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia henryana var. subglabra,Tilia henryana var. subglabra,Tilia henryana,desiderata,"Glabrous-leaved form predominantly in eastern part of the range. If you have time, it could be interesting to see if this is possible to red list but I wouldn't consider a priority.",infraspecific,infraspecific,NA,Tilia henryana var. subglabra V. Engl.,tnrs,no opinion,http://www.tropicos.org/Name/32200840,1,N,N,,,,,,,,,,,,
Tilia paucicostata var. dictyoneura,Tilia paucicostata var. dictyoneura,Tilia paucicostata,desiderata,NA,infraspecific,infraspecific,NA,Tilia paucicostata var. dictyoneura (V. Engl. ex C. K. Schneid.) Hung T. Chang & E. W. Miao,tpl,accepted,tro-32200883,1,N,N,,,,,,,,,,,,
Tilia paucicostata var. paucicostata,Tilia paucicostata var. paucicostata,Tilia paucicostata,desiderata,NA,infraspecific,infraspecific,NA,Tilia paucicostata Maximowicz var. paucicostata,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia paucicostata var. yunnanensis,Tilia paucicostata var. yunnanensis,Tilia paucicostata,desiderata,"Not interested in this for Morton, from too far south in China",infraspecific,infraspecific,NA,Tilia paucicostata var. yunnanensis Diels,"ipni, tpl","accepted,no opinion","tro-32200885,77123266-1",2,N,Y,,,,,,,,,,,,
Tilia platyphyllos subsp. cordifolia,Tilia platyphyllos subsp. cordifolia,Tilia platyphyllos,desiderata,"We've historically had a ""Tilia x europaea 'Grandiflora'"". I'm fairly positive this was a spelling error for ""Tilia europaea grandifolia"" which is now considered the subsp this is listed under. Also, when I examined the vouchers, the leaves resemble the description for this platyphyllos subsp",infraspecific,infraspecific,NA,Tilia platyphyllos subsp. cordifolia L.,tnrs,no opinion,http://www.tropicos.org/Name/32200185,1,Y,N,,,,,,,,,,,,
Tilia platyphyllos subsp. corinthiaca,Tilia platyphyllos subsp. corinthiaca,Tilia platyphyllos,desiderata,NA,infraspecific,infraspecific,NA,Tilia platyphyllos ssp. corinthiaca (Bosc ex K. Koch) Pigott,EOL,NA,https://eol.org/pages/50225078,NA,N,N,,,,,,,,,,,,
Tilia platyphyllos subsp. platyphyllos,Tilia platyphyllos subsp. platyphyllos,Tilia platyphyllos,desiderata,NA,infraspecific,infraspecific,NA,Tilia platyphyllos Scop. subsp. platyphyllos,USDA PLANTS,NA,https://plants.usda.gov/core/profile?symbol=TIPL,NA,N,N,,,,,,,,,,,,
Tilia platyphyllos subsp. pseudorubra,Tilia platyphyllos subsp. pseudorubra,Tilia platyphyllos,desiderata,NA,infraspecific,infraspecific,NA,Tilia platyphyllos subsp. pseudorubra C. K. Schneid.,The Plant List,NA,http://www.theplantlist.org/tpl1.1/record/kew-2873556,NA,N,N,,,,,,,,,,,,
Tilia tuan var. chenmoui,Tilia tuan var. chenmoui,Tilia tuan,desiderata,Largely subtropical and not of interest here,infraspecific,infraspecific,NA,Tilia tuan var. chenmoui (W. C. Cheng) Y. Tang,"ipni, tnrs, tpl","accepted,no opinion","tro-50314469,77088749-1,http://www.tropicos.org/Name/50314469",3,N,Y,,,,,,,,,,,,
Tilia tuan var. chinensis,Tilia tuan var. chinensis,Tilia tuan,desiderata,I suspect this would come up as DD since it's just based on a few specimens from Hubei. I think there are still some taxonomic questions with this whole complex.,infraspecific,infraspecific,NA,Tilia tuan var. chinensis (Szyszyl.) Rehder & E. H. Wilson,tpl,accepted,tro-32200869,1,N,Y,,,,,,,,,,,,
Tilia tuan var. tuan,Tilia tuan var. tuan,Tilia tuan,desiderata,"Keeping with the three var. treatment as in Flora of China. I'm not sure Pigott's, which lists three subspecies assigns some subsp. also a var. is going to be helpful here.",infraspecific,infraspecific,NA,Tilia tuan Szyszyłowicz var. tuan,Flora of China,NA,NA,NA,Y,N,,,,,,,,,,,,
Ulmus androssowii var. androssowii,Ulmus androssowii var. androssowii,Ulmus androssowii,desiderata,The central asian form,infraspecific,infraspecific,NA,Ulmus androssowii Litvinov var. androssowii,Flora of China,NA,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242414823,NA,N,N,,,,,,,,,,,,
Ulmus androssowii var. subhirsuta,Ulmus androssowii var. subhirsuta,Ulmus androssowii,desiderata,The chinese form,infraspecific,infraspecific,NA,Ulmus androssowii var. subhirsuta (C. K. Schneid.) P. H. Huang,"tnrs, tpl",no opinion,"tro-50107982,http://www.tropicos.org/Name/50107982",2,N,N,,,,,,,,,,,,
Ulmus bergmanniana var. bergmanniana,Ulmus bergmanniana var. bergmanniana,Ulmus bergmanniana,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus bergmanniana Schneid. var. bergmanniana,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Ulmus bergmanniana var. lasiophylla,Ulmus bergmanniana var. lasiophylla,Ulmus bergmanniana,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus bergmanniana var. lasiophylla C. K. Schneid.,"ipni, tnrs, tpl","accepted,no opinion","tro-50127406,77099087-1,http://www.tropicos.org/Name/50127406",3,N,N,,,,,,,,,,,,
Ulmus changii var. changii,Ulmus changii var. changii,Ulmus changii,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus changii Cheng var. changii,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Ulmus changii var. kunmingensis,Ulmus changii var. kunmingensis,Ulmus changii,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus changii var. kunmingensis (W. C. Cheng) W. C. Cheng & L. K. Fu,"ipni, tnrs, tpl","accepted,no opinion","tro-50127392,891971-1,http://www.tropicos.org/Name/50127392",3,N,N,,,,,,,,,,,,
Ulmus davidiana var. davidiana,Ulmus davidiana var. davidiana,Ulmus davidiana,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus davidiana Planch. var. davidiana,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Ulmus davidiana var. japonica,Ulmus davidiana var. japonica,Ulmus davidiana,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus davidiana var. japonica (Rehder) Nakai,"ipni, itis, tnrs, tpl","accepted,no opinion","897068,tro-33300289,50937329-1,http://www.tropicos.org/Name/33300289",4,N,N,,,,,,,,,,,,
Ulmus glaucescens var. glaucescens,Ulmus glaucescens var. glaucescens,Ulmus glaucescens,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus glaucescens Franch. var. glaucescens,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Ulmus glaucescens var. lasiocarpa,Ulmus glaucescens var. lasiocarpa,Ulmus glaucescens,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus glaucescens var. lasiocarpa Rehder,tnrs,no opinion,http://www.tropicos.org/Name/33300016,1,N,N,,,,,,,,,,,,
Ulmus macrocarpa var. glabra,Ulmus macrocarpa var. glabra,Ulmus macrocarpa,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus macrocarpa var. glabra S. Q. Nie & K. Q. Huang,tnrs,no opinion,http://www.tropicos.org/Name/50127380,1,N,N,,,,,,,,,,,,
Ulmus macrocarpa var. macrocarpa,Ulmus macrocarpa var. macrocarpa,Ulmus macrocarpa,desiderata,two var. treatment as in Flora of China,infraspecific,infraspecific,NA,Ulmus macrocarpa Hance var. macrocarpa,Flora of China,NA,NA,NA,N,N,,,,,,,,,,,,
Malus angustifolia,Malus angustifolia,Malus angustifolia,desiderata,NA,species,species,NA,Malus angustifolia (Aiton) Michx.,"ipni, itis, tpl","accepted,no opinion","25255,rjp-5763,1087697-2",3,N,N,,,,,,,,,,,,
Malus armeniacaefolia,Malus armeniacaefolia,Malus armeniacaefolia,desiderata,"This is ""Hort ex. Lavallee"" I believe, not sure if this is really a valid name. Also, we're the only place who has this. Let me check into this.",species,species,NA,"Malus armeniacaefolia hort. ex Lavall,e",tpl,no opinion,rjp-24576,1,Y,N,,,,,,,,,,,,
Malus asiatica,Malus asiatica,Malus asiatica,desiderata,NA,species,species,NA,Malus asiatica Nakai,"ipni, tnrs, tpl","accepted,no opinion","rjp-7028,726239-1,http://www.tropicos.org/Name/27802344",3,N,N,,,,,,,,,,,,
Malus brevipes,Malus brevipes,Malus brevipes,desiderata,NA,species,species,NA,Malus brevipes Rehder,ipni,no opinion,726250-1,1,Y,N,,,,,,,,,,,,
Malus coronaria,Malus coronaria,Malus coronaria,desiderata,"Treatment in Flora of North America lumps most of the lower taxa in with the species (e.g. var. dasycalyx, var. elongata). I think this is fine for the purpose of this project.",species,species,NA,Malus coronaria (L.) Mill.,"ipni, itis, tnrs, tpl","accepted,no opinion","25257,rjp-5767,1217035-2,726269-1,http://www.tropicos.org/Name/27800980",4,N,N,,,,,,,,,,,,
Malus dasyphylla,Malus dasyphylla,Malus dasyphylla,desiderata,"This is the name used for the Eastern European/Balkan relative of M. pumila/domestica and is thus aligned with the cultivated apple. Some have lumped this under M. pumila but I still feel the complex is poorly understood. Let's keep this separate, but I would not bother red listing this (or the rest of the pumila complex) due to the taxonomic issues.",species,species,NA,Malus dasyphylla Borkh.,"ipni, tpl","accepted,no opinion","rjp-7541,726274-1",2,N,N,,,,,,,,,,,,
Malus florentina,Malus florentina,Malus florentina,desiderata,NA,species,species,NA,Malus florentina (Zuccagni) C. K. Schneid.,"itis, tpl",accepted,"836506,rjp-3633",2,N,N,,,,,,,,,,,,
Malus floribunda,Malus floribunda,Malus floribunda,desiderata,NA,species,species,NA,Malus floribunda Siebold ex Van Houtte,"ipni, itis, tpl","accepted,no opinion","503673,rjp-597,726291-1",3,N,N,,,,,,,,,,,,
Malus fusca,Malus fusca,Malus fusca,desiderata,NA,species,species,NA,Malus fusca (Raf.) C. K. Schneid.,"ipni, itis, tnrs, tpl","accepted,no opinion","25258,rjp-5770,150114-2,http://www.tropicos.org/Name/27800981",4,N,N,,,,,,,,,,,,
Malus halliana,Malus halliana,Malus halliana,desiderata,NA,species,species,NA,Malus halliana Koehne,"ipni, itis, tnrs, tpl, tropicos","accepted,no opinion","836661,rjp-7025,27802345,726306-1,http://www.tropicos.org/Name/27802345",5,N,N,,,,,,,,,,,,
Malus honanensis,Malus honanensis,Malus honanensis,desiderata,NA,species,species,NA,Malus honanensis Rehder,"ipni, tnrs, tpl, tropicos","accepted,no opinion","rjp-7040,27805266,726309-1,http://www.tropicos.org/Name/27805266",4,N,N,,,,,,,,,,,,
Malus hupehensis,Malus hupehensis,Malus hupehensis,desiderata,NA,species,species,NA,Malus hupehensis (Pamp.) Rehder,"ipni, itis, tpl","accepted,no opinion","836454,rjp-3634,726310-1",3,N,N,,,,,,,,,,,,
Malus hybrida,Malus hybrida,Malus hybrida,desiderata,Doesn't look like we have much of a ref for this. I will examine specimens.,species,species,NA,Malus hybrida Desf.,ipni,no opinion,"60476210-2,726311-1",1,Y,N,,,,,,,,,,,,
Malus ioensis,Malus ioensis,Malus ioensis,desiderata,NA,species,species,NA,Malus ioensis (Alph. Wood) Britton,"ipni, itis, tpl","accepted,no opinion","25259,rjp-5773,150119-2",3,N,N,,,,,,,,,,,,
Malus kansuensis,Malus kansuensis,Malus kansuensis,desiderata,NA,species,species,NA,Malus kansuensis (Batalin) C. K. Schneid.,"ipni, tnrs, tpl","accepted,no opinion","rjp-7030,726318-1,http://www.tropicos.org/Name/27805267",3,N,N,,,,,,,,,,,,
Malus kirghisorum,Malus kirghisorum,Malus kirghisorum,desiderata,"I would continue to treat this as a species, though the taxonomy of this is still debated. See New Trees (Grimshaw/Bayton) ""The exact status of the Kirghiz Apple is debated. Fiala (1994) treated it as a crabapple cultivar (Malus <d4>Kirghisorum<d5>). Dzhangaliev et al. (2003) maintain it as a full species, while Juniper & Mabberley (2006) regard it as a distinct species occurring sympatrically with M. pumila in the Tian Shan, and intermediate between it and M. baccata in characters."" You may be able to red list this if it appears to be a distinct ""entity"" (regardless of which rank it sits at), but I wouldn't consider this a big priority",species,species,NA,Malus kirghisorum Al. Fed. & Fed.,"ipni, tpl","accepted,no opinion","rjp-1851,60450414-2",2,N,N,,,,,,,,,,,,
Malus komarovii,Malus komarovii,Malus komarovii,desiderata,NA,species,species,NA,Malus komarovii (Sarg.) Rehder,"tnrs, tpl","accepted,no opinion","rjp-7033,http://www.tropicos.org/Name/27806802",2,N,N,,,,,,,,,,,,
Malus leiocalyca,Malus leiocalyca,Malus leiocalyca,desiderata,NA,species,species,NA,Malus leiocalyca S. Z. Huang,"ipni, tpl, tropicos","accepted,no opinion","rjp-7046,50232768,938687-1",3,N,N,,,,,,,,,,,,
Malus mandshurica,Malus mandshurica,Malus mandshurica,desiderata,"Has been treated as var. of baccata in past, but current Flora of China treatment keeps as species; checked authority in Flora of China",species,species,NA,Malus mandshurica (Maxim.) Kom. ex Juz.,tpl,accepted,tro-27802352,1,N,N,,,,,,,,,,,,
Malus micromalus,Malus x micromalus,Malus x micromalus,desiderata,Updated 2020-08-04 based on ML's notes/Nomenclature Review. Nothospecies. ,species,species,NA,Malus micromalus Makino,"ipni, tpl","accepted,no opinion","rjp-7029,726340-1",2,N,N,,,,,,,,,,,,
Malus orientalis,Malus orientalis,Malus orientalis,desiderata,Author matched to USDA PLANTS,species,species,NA,Malus orientalis Uglitzk.,"ipni, itis","accepted,no opinion","836455,895826-1",2,N,N,,,,,,,,,,,,
Malus pallasiana,Malus pallasiana,Malus pallasiana,desiderata,Global Tree Search listed as syn of M. baccata. I am hesistant to accept without knowing the treatment/justification behind this.,species,species,NA,Malus pallasiana Juz.,"ipni, tpl, tropicos","accepted,no opinion","rjp-7531,27804435,726356-1",3,N,N,,,,,,,,,,,,
Malus praecox,Malus praecox,Malus praecox,desiderata,"Global Tree Search listed as syn of M. pumila. Hesitant to accept without seeing treatment. Again, I think this is about how to treat the ""Paradise Apple""",species,species,NA,Malus praecox (Pall.) Borkh.,"ipni, itis, tpl, tropicos","accepted,no opinion,rejected","rjp-9759,726365-1,27804437,837142",4,N,N,,,,,,,,,,,,
Malus prattii,Malus prattii,Malus prattii,desiderata,NA,species,species,NA,Malus prattii (Hemsl.) C. K. Schneid.,"ipni, itis, tnrs, tpl","accepted,no opinion","836456,rjp-7038,77066446-1,http://www.tropicos.org/Name/27805361",4,N,N,,,,,,,,,,,,
Malus prunifolia,Malus prunifolia,Malus prunifolia,desiderata,NA,species,species,NA,Malus prunifolia (Willd.) Borkh.,"ipni, itis","accepted,no opinion","25261,726369-1",2,N,N,,,,,,,,,,,,
Malus pumila,Malus pumila,Malus pumila,desiderata,"Global Tree Search listed as syn of Malus dasyphylla. These names both refer in some capacity to the ""Paradise Apple"" which I believe is the progenitor of cultivated apples, but I believe the origin of that as a ""clean species"" is lost due to centuries (or millennia) of intentional breeding by humans. Let me dig into this a bit and try and find if there is justification for two entities here. This may be a moot point however, since it sounds like we can't find much ""M. dasyphylla"" anyway...",species,species,NA,Malus pumila Mill.,"ipni, itis, tpl","accepted,no opinion","25262,rjp-5777,726372-1",3,N,N,,,,,,,,,,,,
Malus rockii,Malus rockii,Malus rockii,desiderata,NA,species,species,NA,Malus rockii Rehder,"ipni, tnrs, tpl","accepted,no opinion","rjp-7024,726385-1,http://www.tropicos.org/Name/27802348",3,Y,N,,,,,,,,,,,,
Malus sachalinensis,Malus sachalinensis,Malus sachalinensis,desiderata,Global tree search listed as M. mandshurica synonym. I would prefer to keep distinct without knowledge of the treatment/justifiction.,species,species,NA,Malus sachalinensis Kom. ex Juz.,tpl,accepted,rjp-24677,1,N,N,,,,,,,,,,,,
Malus sargentii,Malus sargentii,Malus sargentii,desiderata,Global Tree Search listed as syn of M. toringo. I would keep this separate without knowing the treatment. I thought sargentii was rather distinct.,species,species,NA,Malus sargentii Rehder,"ipni, itis, tpl, tropicos","accepted,no opinion,rejected","rjp-8013,27803789,726391-1,507499",4,N,N,,,,,,,,,,,,
Malus sieboldii,Malus sieboldii,Malus sieboldii,desiderata,NA,species,species,NA,Malus sieboldii (Regel) Rehder,"itis, tnrs, tpl","accepted,no opinion","503677,rjp-5778,http://www.tropicos.org/Name/27804442",3,N,N,,,,,,,,,,,,
Malus sieversii,Malus sieversii,Malus sieversii,desiderata,NA,species,species,NA,Malus sieversii (Ledeb.) M. Roem.,"itis, tnrs, tpl","accepted,no opinion","836510,rjp-7027,http://www.tropicos.org/Name/27802349",3,N,N,,,,,,,,,,,,
Malus sikkimensis,Malus sikkimensis,Malus sikkimensis,desiderata,NA,species,species,NA,Malus sikkimensis (Wenz.) Koehne ex C. K. Schneid.,"ipni, itis, tpl","accepted,no opinion","836480,rjp-7023,907840-1",3,N,N,,,,,,,,,,,,
Malus spectabilis,Malus spectabilis,Malus spectabilis,desiderata,NA,species,species,NA,Malus spectabilis (Aiton) Borkh.,"itis, tnrs","accepted,no opinion","836662,http://www.tropicos.org/Name/27802351",2,N,N,,,,,,,,,,,,
Malus spontanea,Malus spontanea,Malus spontanea,desiderata,NA,species,species,NA,Malus spontanea (Makino) Makino,tpl,accepted,rjp-3635,1,N,N,,,,,,,,,,,,
Malus sylvestris,Malus sylvestris,Malus sylvestris,desiderata,NA,species,species,NA,Malus sylvestris (L.) Mill.,"ipni, tpl","accepted,no opinion","rjp-71,726415-1",2,N,N,,,,,,,,,,,,
Malus toringoides,Malus toringoides,Malus toringoides,desiderata,NA,species,species,NA,Malus toringoides (Rehder) Hughes,"ipni, itis, tpl, tropicos","accepted,no opinion","27805270,836501,rjp-7035,726421-1",4,N,N,,,,,,,,,,,,
Malus trilobata,Malus trilobata,Malus trilobata,desiderata,"May be Eriolobus trilobatus, keeping as Malus trilobata for this project, or for now to avoid confusion with sampling beyond the four genera for the IMLS project.",species,species,NA,Malus trilobata (Labill. ex Poir.) C. K. Schneid.,tpl,accepted,rjp-3636,1,N,N,,,,,,,,,,,,
Malus tschonoskii,Malus tschonoskii,Malus tschonoskii,desiderata,NA,species,species,NA,Malus tschonoskii (Maxim.) C. K. Schneid.,"ipni, itis, tpl","accepted,no opinion","836503,rjp-9133,726425-1",3,N,N,,,,,,,,,,,,
Malus turkmenorum,Malus turkmenorum,Malus turkmenorum,desiderata,"There was a note here this was a potential var. of Malus sieversii. I'm hesitant to change without seeing the justification/reference but it could be possible (M. sieversii occurs in Kazakhstan, this would be a bit further south in Turkmenistan)",species,species,NA,Malus turkmenorum Juz. & Popov,"ipni, tpl","accepted,no opinion","rjp-1854,726427-1",2,N,N,,,,,,,,,,,,
Malus zhaojiaoensis,Malus zhaojiaoensis,Malus zhaojiaoensis,desiderata,I really don't know what this is. I think the epithet refers to an area of Sichuan but the species is not treated in Flora of China.,species,species,NA,Malus zhaojiaoensis N. G. Jiang,GBIF (GRIN Taxonomy),NA,https://www.gbif.org/species/4938517,NA,Y,N,,,,,,,,,,,,
Quercus acerifolia,Quercus acerifolia,Quercus acerifolia,desiderata,NA,species,species,NA,Quercus acerifolia (E. J. Palmer) Stoynoff & Hess,tpl,accepted,kew-171396,1,N,N,,,,,,,,,,,,
Quercus acrodonta,Quercus acrodonta,Quercus acrodonta,desiderata,NA,species,species,NA,Quercus acrodonta Seemen,"ipni, tnrs, tpl, tropicos","accepted,no opinion","kew-171401,13101445,295729-1,http://www.tropicos.org/Name/13101445",4,N,N,,,,,,,,,,,,
Quercus acutissima,Quercus acutissima,Quercus acutissima,desiderata,NA,species,species,NA,Quercus acutissima Carruth.,"ipni, itis, tpl","accepted,no opinion","195162,kew-171430,295743-1",3,N,N,,,,,,,,,,,,
Quercus alba,Quercus alba,Quercus alba,desiderata,NA,species,species,NA,Quercus alba L.,"ipni, itis, tpl, tropicos","accepted,no opinion","13100028,19290,kew-171499,295763-1,30064903-2",4,N,N,,,,,,,,,,,,
Quercus arizonica,Quercus arizonica,Quercus arizonica,desiderata,NA,species,species,NA,Quercus arizonica Sarg.,"ipni, itis, tnrs, tpl","accepted,no opinion","19292,kew-171655,215552-2,295803-1,http://www.tropicos.org/Name/13100030",4,Y,N,,,,,,,,,,,,
