PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
138-U*6,Quercus macrocarpa,Bur Oak,,u,,,,,Quercus,north section,M-102,86-21,
206-40*18,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Meadow Lake,north side,T-55,62-85,
2387-26*65,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-84,64-14,
185-92*2,Quercus velutina,Black Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, along Merioneth Road",Quercus,north section,K-100,91-43,
517-82*2,Quercus dentata,Daimyo Oak,,g,Purdue University Department of Forestry,,,,Fagaceae,south section,J-13,90-08,
2387-26*45,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,50-19,
359-2002*2,Quercus macrocarpa,Bur Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,,Q-06,51-87,
478-2001*1,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Lenart, ME","United States of America, Illinois, Effingham",Midwest,,N-61,91-03,
139-U*18,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,west side,F-58,00-74,
343-94*3,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",Quercus,north section,M-97,13-55,
139-U*17,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,west side,F-57,77-69,
138-U*57,Quercus macrocarpa,Bur Oak,,u,,,,,Kings Grove,,G-106,68-71,
2385-26*13,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,R-83,94-29,
184-92*1,Quercus imbricaria,Shingle Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, from a cemetery along Regan Road west of Mokena",Midwest,,M-67,86-70,
395-2000*1,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Big Rock Visitor Station,,Z-112,12-84,
926-62*1,Quercus imbricaria,Shingle Oak,,g,Shaw Arboretum of the Missouri Botanical Garden,,,,Hedge Garden,lower terrace,I-44,21-60,
530-2008*5,Quercus aliena var. acutiserrata,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,China (PRC),,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",Quercus,south section,L-95,48-22,
134-U*25,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,KK-27,71-76,
696-2006*2,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Chmelir, G","United States of America, Texas, Burleson",Quercus,north section,N-96,74-15,
2175-29*18,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,T-82,31-16,
537-82*7,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Cook, near Sauk Lake in Sauk Trail Forest Preserve",Fagaceae,south section,I-15,97-06,
390-2006*5,Quercus ellipsoidalis,Hill's Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,Secret Stream,I-54,44-34,
138-U*37,Quercus macrocarpa,Bur Oak,,u,,,,,Schulenberg Prairie,upper prairie,G-04,81-15,
699-50*1,Quercus humidicola,Mounds Oak,,g,,,,,Centennial Grove,,A-58,11-90,
304-94*1,Quercus alba,White Oak,,w,International Oak Society Seed Exchange,United States of America,"Keiser, D","United States of America, Minnesota, Anoka, on a farm",Quercus,north section,L-102,64-47,
138-U*46,Quercus macrocarpa,Bur Oak,,u,,,,,Sargent's Glade,south section,Z-21,44-29,
244-44*2,Quercus palustris,Pin Oak,,g,Thomas B. Meehan Co.,,,,Founder's Grove,northeast section,KK-31,08-73,
359-2002*1,Quercus macrocarpa,Bur Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,,Q-06,73-36,
206-40*20,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Meadow Lake,north side,U-56,03-07,
366-2007*2,Quercus shumardii,Shumard's Oak,,w,The Morton Arboretum Research Program,United States of America,"Hipp, AL","United States of America, Michigan, Monroe, Roberts Road, near intersection with Roelant Rd.; across street from landfill in state game area",Midwest,,L-62,46-35,
824-64*1,Quercus alba,White Oak,,u,,,,,Firefly Pond,,C-45,65-24,
1513-35*5,Quercus shumardii,Shumard's Oak,,g,Missouri Botanical Garden,,,,Quercus,north section,N-103,11-45,
239-42*1,Quercus alba,White Oak,,g,Ohio Agricultural Experiment Station,,,,Meadow Lake,north side,T-51,75-45,
416-45*3,Quercus texana,Nuttall's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,B-59,14-46,
56-98*16,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Sargent's Glade,south section,BB-21,57-82,
134-U*37,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-28,31-35,
138-U*26,Quercus macrocarpa,Bur Oak,,u,,,,,Lake Marmo,west side,R-9,70-82,
51-2009*4,Quercus warei 'Nadler',Ware's Oak,KINDRED SPIRIT,g,"Robinson Nursery, Inc.",,,,West DuPage River,,J-26,34-58,
171-2008*1,Quercus warei 'Long',Ware's Oak,REGAL PRINCE,g,The Morton Arboretum: Plant Sale,,,,Quercus,north section,J-100,56-47,
212-91*3,Quercus stellata,Post Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",Quercus,north section,M-101,44-37,
2385-26*16,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,S-83,34-33,
575-40*2,Quercus shumardii,Shumard's Oak,,w,University of Kentucky,United States of America,?,"United States of America, Kentucky, Union",Quercus,south section,D-105,70-85,
204-40*6,Quercus coccinea,Scarlet Oak,,g,H. Kohankie & Son,,,,Meadow Lake,east side,S-55,75-40,
1279-2004*10,Quercus macrocarpa,Bur Oak,,g,"Bailey Nurseries, Inc.",,,,Childrens Garden,Curiosity Garden,J-49,92-20,
616-30*4,Quercus deamii,Deam's Oak,,u,Arnold Arboretum of Harvard University,,,,Quercus,north section,K-98,95-46,
392-2006*1,Quercus alba,White Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,Secret Stream,I-54,59-09,
417-45*4,Quercus buckleyi,Buckley's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,B-58,77-29,
2387-26*25,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,K-82,77-95,
138-U*55,Quercus macrocarpa,Bur Oak,,u,,,,,Kings Grove,,Q-86,60-57,
433-2013*6,Quercus rubra,Northern Red Oak,,g,Possibility Place Nursery,,,,Founder's Grove,southwest section,DD-28,38-91,
580-32*2,Quercus saulii,Saul's Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,north section,M-98,36-18,
797-53*3,Quercus acutissima,Sawtooth Oak,,g,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",,,,Quercus,north section,J-100,10-95,
107-2018*1,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Pine Hill,,Z-3,51-64,
527-2000*6,Quercus macrocarpa,Bur Oak,,w,International Oak Society Seed Exchange,United States of America,"Sternberg, G","United States of America, Illinois, Menard",Midwest,,N-61,13-44,
357-2002*5,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,unlabeled section,S-05,38-60,
51-2009*1,Quercus warei 'Nadler',Ware's Oak,KINDRED SPIRIT,g,"Robinson Nursery, Inc.",,,,Quercus,south section,J-98,39-56,
525-32*1,Quercus bicolor,Swamp White Oak,,g,Arnold Arboretum of Harvard University,,,,Visitor Center Parking,picnic area,T-51,10-30,
839-79*2,Quercus bicolor,Swamp White Oak,,g,The Morton Arboretum-Staff,United States of America,?,United States of America,Sargent's Glade,south section,X-19,25-27,
135-U*12,Quercus bicolor,Swamp White Oak,,u,,,,,Forest Road,south side,J-73,75-90,
4-2008*3,Quercus dentata,Daimyo Oak,,z,The Morton Arboretum,China (PRC),"Bretschneider, EV","China (PRC), near Peking",Quercus,south section,H-99,66-28,
265-90*11,Quercus mongolica,Mongolian Oak,,w,The Morton Arboretum-Staff,China (PRC),?,"China (PRC), Shanxi, Pangquangou Nature Protection Area, Luliang Shan (Luliang Mountains)",Quercus,north section,N-97,56-21,
2387-26*10,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-82,69-96,
35-2007*3,Quercus macdanielii 'Clemons',Macdaniel's Oak,HERITAGE,g,"Bailey Nurseries, Inc.",,,,Visitor Center Parking,northwest median,T-48,39-94,
2386-26*11,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-82,67-82,
1183-2004*5,Quercus imbricaria,Shingle Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,"Trager, JC","United States of America, Missouri, Franklin, Shaw Nature Reserve and along I-44 roadside",Ozark,east side,S-31,81-31,
1164-2004*1,Quercus falcata,Southern Red Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Arkansas, Cross, Village Creek State Park near visitor center parking lot",Ozark,west side,R-26,17-57,
479-2001*1,Quercus stellata,Post Oak,,w,,United States of America,"Lenart, ME","United States of America, Illinois, Clay",Midwest,,O-68,12-69,
256-42*1,Quercus montana,Chestnut Oak,,g,Donaldson Nurseries,,,,Quercus,north section,M-102,91-90,
2385-26*11,Quercus alba,White Oak,,u,,United States of America,?,United States of America,South Forestry Plot,south side,L-84,90-00,
316-85*2,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Sargent's Glade,south section,W-18,55-67,
2387-26*40,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-82,50-79,
2386-26*15,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-83,22-42,
1030-2004*2,Quercus macrocarpa,Bur Oak,,g,"Possibility Place Nursery, Inc.",,,,Thornhill Overflow Lot,median,PP-22,09-56,
704-46*14,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Rosaceae,,B-67,78-80,
390-2006*6,Quercus ellipsoidalis,Hill's Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Thornhill Overflow Lot,south side,OO-23,92-64,
699-50*3,Quercus humidicola,Mounds Oak,,g,,,,,Centennial Grove,,AZ-58,04-94,
463-84*2,Quercus bicolor,Swamp White Oak,,w,,United States of America,?,"United States of America, Illinois, Cook, along the Des Plaines River near Willow Springs",Fagaceae,south section,M-18,83-63,
138-U*45,Quercus macrocarpa,Bur Oak,,u,,,,,Schulenberg Prairie,upper prairie,I-04,23-23,
1133-2004*1,Quercus lyrata,Overcup Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Stoddard, near parking lot in Otter Slough State Conservation Area",Quercus,north section,O-96,16-72,
550-82*9,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, along the Fox River in Silver Springs State Park",Thornhill Parking,west median,PP-26,01-80,
73-2012*1,Quercus robur 'Argenteovariegata',Silver-variegated English Oak,,g,"Brotzman's Nursery, Inc.",,,,Quercus,south section,M-92,77-23,
2386-26*9,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-82,36-93,
343-94*2,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",Quercus,north section,M-97,47-49,
570-78*1,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Shaw, CB","United States of America, Illinois, Will, in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line",Northern Illinois,,J-59,62-21,
548-82*9,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Sargent's Glade,south section,W-19,89-92,
541-2005*4,Quercus ellipsoidalis,Hill's Oak,,g,A. Brown & Sons Nursery,,,,Childrens Garden,Central Plaza,K-52,32-24,
138-U*28,Quercus macrocarpa,Bur Oak,,u,,,,,Lake Marmo,west side,S-9,95-02,
15-2006*1,Quercus georgiana,Georgia Oak,,w,Starhill Forest Arboretum,United States of America,"Sternberg, G","United States of America, type locality",Appalachia,south section,AA-73,30-20,
27-69*1,Quercus imbricaria,Shingle Oak,,w,The Morton Arboretum,United States of America,?,"United States of America, Illinois, DuPage, from Woodridge Golf Club west of IL-53 south of Lisle",Forestry Plot Area,,O-73,55-40,
134-U*65,Quercus alba,White Oak,,u,,,,,Pine Hill,north side,Z-5,56-48,
134-U*18,Quercus alba,White Oak,,u,,,,,Appalachia,north section,AA-75,58-51,
141-38*3,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Firefly Pond,,G-43,87-18,
1295-2004*1,Quercus rubra,Northern Red Oak,,g,Eisler Nursery,,,,Childrens Garden,Secret Stream,I-54,78-03,
333-94*8,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",Childrens Garden,Under The Trees,K-54,09-25,
185-92*1,Quercus velutina,Black Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, along Merioneth Road",Midwest,,L-69,72-22,
702-50*1,Quercus acerifolia,Maple-leaved Oak,,z,,United States of America,"Palmer, EJ","United States of America, Arkansas, Logan, Magazine Mountain",Forest Road,south side,C-80,92-65,
548-82*14,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Sargent's Glade,south section,Z-20,56-22,
903-2005*1,Quercus baronii,Baroni's Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Diebu",Quercus,south section,K-94,53-93,
4-2008*4,Quercus dentata,Daimyo Oak,,z,The Morton Arboretum,China (PRC),"Bretschneider, EV","China (PRC), near Peking",Quercus,south section,H-99,92-07,
65-92*2,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum Research Program,United States of America,"Konsis, K","United States of America, Illinois, Vermilion, from a spontaneous tree in Forest Glen County Preserve near Westville",Quercus,south section,I-100,08-89,
417-45*5,Quercus buckleyi,Buckley's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,B-58,96-71,
752-34*4,Quercus macrocarpa,Bur Oak,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Quercus,north section,J-105,05-95,
134-U*8,Quercus alba,White Oak,,u,,,,,Forest Road,north side,N-94,95-45,
28-93*1,Quercus serrata,Gland Bearing Oak,,w,Göteborg Botanical Garden,Republic of Korea,Holmberg; Strindberg,"Republic of Korea, Jeju, on western Mt. Halla on Cheju Island",Korea,,S-64,18-53,
416-45*1,Quercus texana,Nuttall's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Centennial Grove,,AZ-58,75-58,
573-40*1,Quercus palustris,Pin Oak,,w,University of Kentucky,United States of America,?,"United States of America, Kentucky, Fayette",Forest Road,south side,K-88,54-99,
696-2006*9,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Chmelir, G","United States of America, Texas, Burleson",Quercus,south section,L-92,25-64,
1038-65*1,Quercus palustris,Pin Oak,,g,Hermann A. Hesse Baumschulen,,,,Quercus,south section,E-104,95-50,
51-98*3,Quercus bicolor,Swamp White Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Sargent's Glade,south section,BB-21,57-23,
134-U*60,Quercus alba,White Oak,,u,,,,,Quercus,north section,J-102,08-59,
1160-2004*1,Quercus alba,White Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Arkansas, Logan, 11090 South State Hwy 309",Ozark,east side,R-33,15-52,
541-2005*6,Quercus ellipsoidalis,Hill's Oak,,g,A. Brown & Sons Nursery,,,,Childrens Garden,Switchback,J-52,72-38,
2390-26*2,Quercus macrocarpa,Bur Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,north section,I-103,70-50,
138-U*24,Quercus macrocarpa,Bur Oak,,u,,,,,Lake Marmo,north side,U-15,80-21,
696-2006*7,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Chmelir, G","United States of America, Texas, Burleson",Quercus,south section,K-91,99-55,
2387-26*20,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-83,97-82,
135-U*20,Quercus bicolor,Swamp White Oak,,u,,,,,West DuPage River,,F-25,85-26,
501-36*1,Quercus exacta,Shinglepin Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,north section,M-99,25-16,
1173-2004*4,Quercus coccinea,Scarlet Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Ste. Genevieve, west edge of Hawn State Park",Quercus,south section,G-99,76-59,
134-U*33,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-27,58-57,
702-2006*2,Quercus macrocarpa,Bur Oak,,w,International Oak Society Seed Exchange,United States of America,?,"United States of America, Texas, Texas A & M Research Station",Quercus,south section,L-93,68-18,
139-U*30,Quercus palustris,Pin Oak,,u,,,,,Kings Grove,,DD-129,46-16,
463-84*6,Quercus bicolor,Swamp White Oak,,w,,United States of America,?,"United States of America, Illinois, Cook, along the Des Plaines River near Willow Springs",Eastern U.S. Wetlands,,HH-71,96-71,
1513-35*1,Quercus shumardii,Shumard's Oak,,g,Missouri Botanical Garden,,,,Quercus,south section,I-103,00-55,
2387-26*53,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,88-27,
135-U*1,Quercus bicolor,Swamp White Oak,,u,,,,,Quercus,south section,M-94,80-33,
2175-29*15,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,T-82,07-14,
340-2002*1,Quercus aliena,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,China (PRC),,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",Quercus,north section,L-98,69-80,
138-U*38,Quercus macrocarpa,Bur Oak,,u,,,,,Kings Grove,woodland trail,DD-127,11-72,
1173-2004*2,Quercus coccinea,Scarlet Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Ste. Genevieve, west edge of Hawn State Park",Ozark,north side,Q-26,88-14,
441-42*1,Quercus bebbiana,Bebb's Oak,,g,Brooklyn Botanic Garden and Arboretum,,,,Quercus,north section,L-99,01-72,
476-2017*1,Quercus bicolor,Swamp White Oak,,g,The Morton Arboretum Research Program,,,,Gateway to Tree Science,,D-98,83-33,
1278-2004*5,Quercus bicolor,Swamp White Oak,,g,"Bailey Nurseries, Inc.",,,,Childrens Garden,Switchback,J-52,70-95,
136-U*10,Quercus ellipsoidalis,Hill's Oak,,u,,,,,North Forestry Plot,north side,Y-83,01-02,
548-82*13,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Big Burl Woods,,Z-19,61-09,
357-2002*1,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,unlabeled section,V-03,26-21,
839-79*3,Quercus bicolor,Swamp White Oak,,g,The Morton Arboretum-Staff,United States of America,?,United States of America,Sargent's Glade,south section,X-19,63-79,
468-2001*3,Quercus alba,White Oak,,w,The Morton Arboretum,United States of America,"Hedborn Jr, EA","United States of America, Michigan, Berrien, along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles",Midwest,,O-68,83-52,
18-2012*1,Quercus castaneifolia,Chestnut-leaved Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Zagatala",Quercus,north section,K-104,00-44,
56-98*22,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Bluebird Meadow,,JJ-17,09-78,
696-2006*5,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Chmelir, G","United States of America, Texas, Burleson",Quercus,north section,N-96,98-97,
394-2000*1,Quercus bicolor,Swamp White Oak,,g,"Possibility Place Nursery, Inc.",,,,Big Rock Visitor Station,,Y-113,43-32,
38-83*2,Quercus macrocarpa,Bur Oak,,w,Minnesota Landscape Arboretum,United States of America,?,"United States of America, Minnesota, Carver",Sargent's Glade,south section,W-20,44-09,
685-33*1,Quercus jackiana,Jack's Oak,,g,The Morton Arboretum,,,,Quercus,north section,K-99,78-91,
515-2001*2,Quercus shumardii,Shumard's Oak,,w,Mt. Cuba Center for the Study of Piedmont Flora,United States of America,,"United States of America, Kentucky, Jessamine, along the west side of Kentucky Route 27 just north of the town of Hall",Appalachia,north section,BB-76,85-66,
2643-22*3,Quercus bicolor,Swamp White Oak,,g,Arnold Arboretum of Harvard University,,,,West Malus,Simonds Road section,U-32,54-31,
548-82*3,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Sargent's Glade,south section,W-18,39-53,
142-U*8,Quercus rubra,Northern Red Oak,,w,Spontaneous plant of The Morton Arboretum,,,,Forestry Plot Area,,L-71,33-19,
704-46*6,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Meadow Lake,east side,Q-55,33-98,
542-2005*2,Quercus rubra,Northern Red Oak,,g,A. Brown & Sons Nursery,,,,Childrens Garden,The Grotto,I-54,47-61,
139-U*25,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,east side,G-64,15-76,
2387-26*61,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,M-84,06-09,
417-45*6,Quercus buckleyi,Buckley's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,B-59,70-45,
134-U*17,Quercus alba,White Oak,,u,,,,,Appalachia,north section,AA-75,44-49,
789-2004*2,Quercus bicolor,Swamp White Oak,,g,Poplar Farms Nursery & Produce Inc.,,,,Visitor Center Parking,southeast median,P-46,15-45,
573-40*2,Quercus palustris,Pin Oak,,w,University of Kentucky,United States of America,?,"United States of America, Kentucky, Fayette",Forest Road,south side,K-88,87-69,
539-96*8,Quercus michauxii,Swamp Chestnut Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Mississippi, in picnic ground at Big Oak Tree State Park",Midwest,,K-67,86-45,
191-94*1,Quercus macrocarpa,Bur Oak,,g,Klehm Nursery,,,,Thornhill Parking,west median,MM-25,32-71,
139-U*22,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,inner loop,E-62,37-98,
72-2012*1,Quercus dentata 'Carl Ferris Miller',Carl Ferris Miller Daimyo Oak,,g,"Brotzman's Nursery, Inc.",,,,Quercus,north section,I-98,07-47,
602-2000*3,Quercus montana,Chestnut Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,United States of America,,"United States of America, Virginia, Craig, at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest",Quercus,south section,H-104,37-05,
517-2000*2,Quercus lyrata,Overcup Oak,,w,International Oak Society Seed Exchange,United States of America,"Lance, R","United States of America, Georgia, Decatur, on bank of Lake Seminole near J. Woodruff dam",Quercus,south section,G-104,82-57,
142-U*3,Quercus rubra,Northern Red Oak,,w,Spontaneous plant of The Morton Arboretum,,,,Anacardiaceae,,W-59,32-11,
696-2006*8,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Chmelir, G","United States of America, Texas, Burleson",Quercus,south section,K-92,81-22,
65-2008*1,Quercus serrata,Gland Bearing Oak,,w,"Kamigamo Experimental Station Field Science Education and Research Center,",Japan,?,"Japan, Kyoto, in Kamigamo experimental forest, Kyoto University",Quercus,south section,H-100,28-25,
72-2012*2,Quercus dentata 'Carl Ferris Miller',Carl Ferris Miller Daimyo Oak,,g,"Brotzman's Nursery, Inc.",,,,Quercus,north section,I-98,17-84,
134-U*48,Quercus alba,White Oak,,u,,,,,Cedar Point,,U-20,37-91,
606-2000*3,Quercus montana,Chestnut Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,United States of America,,"United States of America, Virginia, Franklin, on Cahas Mt.",Quercus,south section,G-100,28-56,
755-79*5,Quercus alba,White Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Iroquois, along the northern edge of the Iroquois County Conservation Area",Northern Illinois,,K-58,21-56,
435-2013*1,Quercus imbricaria,Shingle Oak,,g,Possibility Place Nursery,,,,Upper Joy Path,east side,EE-27,65-11,
548-82*7,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Sargent's Glade,south section,W-19,56-82,
1137-2004*3,Quercus stellata,Post Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Phelps, along I-44 and RR at Rosati",Ozark,west side,R-26,90-06,
253-2017*1,Quercus bimundorum 'Midwest',Two-worlds Oak,PRAIRIE STATURE,g,The Morton Arboretum Research Program,,,,Firefly Pond,,D-42,07-88,
107-2018*4,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Daffodil Glade,,KK-18,33-67,
515-2001*1,Quercus shumardii,Shumard's Oak,,w,Mt. Cuba Center for the Study of Piedmont Flora,United States of America,,"United States of America, Kentucky, Jessamine, along the west side of Kentucky Route 27 just north of the town of Hall",Appalachia,north section,BB-76,80-36,
515-2001*3,Quercus shumardii,Shumard's Oak,,w,Mt. Cuba Center for the Study of Piedmont Flora,United States of America,,"United States of America, Kentucky, Jessamine, along the west side of Kentucky Route 27 just north of the town of Hall",Appalachia,north section,CC-76,15-78,
136-U*6,Quercus ellipsoidalis,Hill's Oak,,u,,,,,Kings Grove,,Y-94,20-55,
1279-2004*8,Quercus macrocarpa,Bur Oak,,g,"Bailey Nurseries, Inc.",,,,Childrens Garden,Grassy Meadow,I-53,68-18,
390-2006*1,Quercus ellipsoidalis,Hill's Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,Under The Trees,J-54,06-80,
2386-26*19,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-83,63-32,
