PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
154-2011*1,Tilia cordata 'Unizam',Little-leaved Linden,UNIQUE,g,"Lake County Nursery, Inc. (Lake County Nursery Exchange)",,,,East Tilia,,L-86,61-98,
34-2004*2,Tilia americana var. heterophylla 'Continental Appeal',Continental Appeal White Basswood,,g,A. McGill & Son Nursery,,,,East Tilia,,P-87,27-56,
50-2005*1,Tilia cordata 'Halka',Little-leaved Linden,SUMMER SPRITE,g,The Morton Arboretum Research Program,,,,West DuPage River,,L-28,21-34,
39-2015*5,Tilia mongolica,Mongolian Linden,,z,The Morton Arboretum,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",China,south section,X-62,54-81,
580-54*3,Tilia japonica,Japanese Linden,,g,The Morton Arboretum,,,,Korea,,R-65,73-14,
73-72*2,Tilia americana 'Redmond',Redmond American Basswood,,g,Princeton Nurseries,,,,Tree Evaluation Plot,,D-103,27-28,
201-99*1,Tilia dasystyla subsp. caucasica,Caucasus Linden,,g,"Späth-Arboretum der Humboldt-Universität zu Berlin Institut für Biologie, A",,,,Central Europe,,Z-34,43-75,
496-82*6,Tilia tomentosa,Silver Linden,,w,Research Institute of Ecology and Botany Hungarian Academy of Sciences Bota,Hungary,?,"Hungary, Villangi Mts. near Harkang",Kings Grove,,II-72,46-50,
111-94*5,Tilia americana 'Redmond',Redmond American Basswood,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AZ-49,17-05,
583-54*2,Tilia platyphyllos subsp. platyphyllos,Big-leaved Linden,,g,The Morton Arboretum,,,,Tilia,,X-56,05-85,
723-57*1,Tilia oliveri,Oliver's Linden,,g,,,,,Tilia,,X-56,00-02,
540-76*4,Tilia americana 'Redmond',Redmond American Basswood,,g,Matt Tures Sons Nursery,,,,Ground Cover Garden,west side,J-45,10-56,
494-2008*4,Tilia paucicostata subsp. dictyoneura,Few-ribbed Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,China (PRC),,"China (PRC), Gansu, Maiji, at Manping",China,north section,CC-65,50-32,
333-86*2,Tilia oliveri,Oliver's Linden,,g,The Morton Arboretum,,,,Hatch Meadow,,CC-41,54-11,
300-97*1,Tilia amurensis,Amur Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1997 Jilin China,China (PRC),,"China (PRC), Jilin, Changbai",China,south section,X-64,01-29,
225-79*8,Tilia americana,American Basswood,,w,The Morton Arboretum-Staff,United States of America,"Schulenberg, RF","United States of America, Illinois, Jo Daviess, 1.5 miles northeast of Elizabeth along the Apple River",Midwest,,M-59,37-19,
540-76*6,Tilia americana 'Redmond',Redmond American Basswood,,g,Matt Tures Sons Nursery,,,,Ground Cover Garden,west side,J-45,22-92,
